,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
456,2398,3,1,1,1,0,0,0,0,0,1,2,3118850
457,3000,3,1,1,0,0,0,0,1,0,0,3,3115000
458,3850,3,1,2,1,0,0,0,0,0,0,3,3115000
459,3500,2,1,1,1,0,0,0,0,0,0,3,3115000
460,8100,2,1,1,1,0,0,0,0,1,0,3,3087000
461,4960,2,1,1,1,0,1,0,1,0,0,3,3080000
462,2160,3,1,2,0,0,1,0,0,0,0,2,3080000
463,3090,2,1,1,1,1,1,0,0,0,0,3,3080000
464,4500,2,1,2,1,0,0,1,0,1,0,2,3080000
465,3800,2,1,1,1,0,0,0,0,0,0,3,3045000
466,3090,3,1,2,0,0,0,0,0,0,0,2,3010000
467,3240,3,1,2,1,0,0,0,0,2,0,2,3010000
468,2835,2,1,1,1,0,0,0,0,0,0,2,3010000
469,4600,2,1,1,1,0,0,0,0,0,0,1,3010000
470,5076,3,1,1,0,0,0,0,0,0,0,3,3010000
471,3750,3,1,2,1,0,0,0,0,0,0,3,3010000
472,3630,4,1,2,1,0,0,0,0,3,0,2,3010000
473,8050,2,1,1,1,0,0,0,0,0,0,3,3003000
474,4352,4,1,2,0,0,0,0,0,1,0,3,2975000
475,3000,2,1,2,1,0,0,0,0,0,0,2,2961000
476,5850,3,1,2,1,0,1,0,0,1,0,3,2940000
477,4960,2,1,1,1,0,0,0,0,0,0,3,2940000
478,3600,3,1,2,0,0,0,0,0,1,0,3,2940000
479,3660,4,1,2,0,0,0,0,0,0,0,3,2940000
480,3480,3,1,2,0,0,0,0,0,1,0,2,2940000
481,2700,2,1,1,0,0,0,0,0,0,0,1,2940000
482,3150,3,1,2,0,0,0,0,0,0,0,3,2940000
483,6615,3,1,2,1,0,0,0,0,0,0,2,2940000
484,3040,2,1,1,0,0,0,0,0,0,0,3,2870000
485,3630,2,1,1,1,0,0,0,0,0,0,3,2870000
486,6000,2,1,1,1,0,0,0,0,0,0,2,2870000
487,5400,4,1,2,1,0,0,0,0,0,0,3,2870000
488,5200,4,1,3,1,0,0,0,0,0,0,3,2852500
489,3300,3,1,2,0,0,0,0,0,1,0,2,2835000
490,4350,3,1,2,0,0,0,1,0,1,0,3,2835000
491,2640,2,1,1,0,0,0,0,0,1,0,1,2835000
492,2650,3,1,2,1,0,1,0,0,1,0,3,2800000
493,3960,3,1,1,1,0,0,0,0,0,0,1,2800000
494,6800,2,1,1,1,0,0,0,0,0,0,3,2730000
495,4000,3,1,2,1,0,0,0,0,1,0,3,2730000
496,4000,2,1,1,1,0,0,0,0,0,0,3,2695000
497,3934,2,1,1,1,0,0,0,0,0,0,3,2660000
498,2000,2,1,2,1,0,0,0,0,0,0,2,2660000
499,3630,3,3,2,0,1,0,0,0,0,0,3,2660000
500,2800,3,1,1,1,0,0,0,0,0,0,3,2660000
501,2430,3,1,1,0,0,0,0,0,0,0,3,2660000
502,3480,2,1,1,1,0,0,0,0,1,0,2,2660000
503,4000,3,1,1,1,0,0,0,0,0,0,2,2660000
504,3185,2,1,1,1,0,0,0,1,0,0,3,2653000
505,4000,3,1,2,1,0,0,0,1,0,0,3,2653000
506,2910,2,1,1,0,0,0,0,0,0,0,3,2604000
507,3600,2,1,1,1,0,0,0,0,0,0,3,2590000
508,4400,2,1,1,1,0,0,0,0,0,0,3,2590000
509,3600,2,2,2,1,0,1,0,0,1,0,1,2590000
510,2880,3,1,1,0,0,0,0,0,0,0,3,2520000
511,3180,3,1,1,0,0,0,0,0,0,0,3,2520000
512,3000,2,1,2,1,0,0,0,0,0,0,1,2520000
513,4400,3,1,2,1,0,0,0,0,0,0,3,2485000
514,3000,3,1,2,0,0,0,0,0,0,0,2,2485000
515,3210,3,1,2,1,0,1,0,0,0,0,3,2450000
516,3240,2,1,1,0,1,0,0,0,1,0,3,2450000
517,3000,2,1,1,1,0,0,0,0,1,0,3,2450000
518,3500,2,1,1,1,1,0,0,0,0,0,3,2450000
519,4840,2,1,2,1,0,0,0,0,0,0,3,2450000
520,7700,2,1,1,1,0,0,0,0,0,0,3,2450000
521,3635,2,1,1,0,0,0,0,0,0,0,3,2408000
522,2475,3,1,2,1,0,0,0,0,0,0,1,2380000
523,2787,4,2,2,1,0,0,0,0,0,0,1,2380000
524,3264,2,1,1,1,0,0,0,0,0,0,3,2380000
525,3640,2,1,1,1,0,0,0,0,0,0,3,2345000
526,3180,2,1,1,1,0,0,0,0,0,0,3,2310000
527,1836,2,1,1,0,0,1,0,0,0,0,2,2275000
528,3970,1,1,1,0,0,0,0,0,0,0,3,2275000
529,3970,3,1,2,1,0,1,0,0,0,0,3,2275000
530,1950,3,1,1,0,0,0,1,0,0,0,3,2240000
531,5300,3,1,1,0,0,0,0,1,0,1,3,2233000
532,3000,2,1,1,0,0,0,0,0,0,0,3,2135000
533,2400,3,1,2,1,0,0,0,0,0,0,3,2100000
534,3000,4,1,2,1,0,0,0,0,0,0,3,2100000
535,3360,2,1,1,1,0,0,0,0,1,0,3,2100000
537,1700,3,1,2,1,0,0,0,0,0,0,3,1890000
538,3649,2,1,1,1,0,0,0,0,0,0,3,1890000
539,2990,2,1,1,0,0,0,0,0,1,0,3,1855000
540,3000,2,1,1,1,0,1,0,0,2,0,3,1820000
541,2400,3,1,1,0,0,0,0,0,0,0,2,1767150
542,3620,2,1,1,1,0,0,0,0,0,0,3,1750000
543,2910,3,1,1,0,0,0,0,0,0,0,1,1750000
544,3850,3,1,2,1,0,0,0,0,0,0,3,1750000
